TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P042_01,P042_03,P042_04,P043,P044_01
06,01,01,01,00102,0009,2869683,1,10,2108,2,0.5
06,01,01,01,00102,0009,2869683,2,5,2620,2,0.25
06,01,01,01,00102,0010,2869699,1,10,2107,2,1.5
06,01,01,01,00102,0010,2869699,2,2,2620,2,1.0
06,01,01,01,00102,0011,2869696,1,12,2620,2,0.5
06,01,01,01,00102,0011,2869696,2,12,2107,2,1.0
06,01,01,01,00102,0011,2869696,3,10,2108,2,0.25
06,01,01,01,00102,0013,2869681,1,12,2107,2,0.7
06,01,01,01,00102,0013,2869681,2,5,2620,2,0.25
06,01,01,01,00102,0013,2869681,3,9,2108,2,1.4
06,01,01,01,00102,0014,2869689,1,11,2107,2,1.0
06,01,01,01,00102,0014,2869689,2,6,2620,2,1.0
06,01,01,01,00102,0015,2869688,1,6,2620,2,0.25
06,01,01,01,00102,0015,2869688,2,1,2401,2,0.25
06,01,01,01,00102,0015,2869688,3,11,2108,2,0.25
06,01,01,01,00102,0019,2869891,1,11,2107,2,0.5
06,01,01,01,00102,0019,2869891,2,8,2603,2,0.01
06,01,01,01,00102,0020,2869889,1,11,2108,2,0.25
06,01,01,01,00102,0021,2869888,1,11,2107,2,0.25
06,01,01,01,00102,0022,2869890,1,11,2109,2,0.5
06,01,01,01,00102,0026,3205778,1,4,2345,1,0.2
06,01,01,01,00102,0026,3205778,2,9,2343,1,0.75
06,01,01,01,00102,0026,3205778,3,10,2107,1,1.5
06,01,01,01,00102,0026,3205778,4,11,2108,1,0.5
06,01,01,01,00102,0031,3205774,1,11,2108,2,1.0
06,01,01,01,00102,0031,3205774,2,10,2109,2,1.0
06,01,01,01,00102,0032,3205773,1,5,2326,2,0.05
06,01,01,01,00102,0032,3205773,2,3,2316,2,0.01
06,01,01,01,00102,0032,3205773,3,7,2319,2,0.05
06,01,01,01,00102,0033,3205772,1,11,2108,2,0.25
06,01,01,01,00102,0033,3205772,2,10,2107,2,2.0
06,01,01,01,00102,0036,3205769,1,11,2108,2,1.0
06,01,01,01,00102,0037,3205767,1,10,2107,2,0.25
06,01,01,01,00102,0038,3205766,1,11,2108,2,0.5
06,01,01,01,00102,0039,3205765,1,6,2343,1,0.25
06,01,01,01,00102,0043,3205761,1,7,2343,2,0.25
06,01,01,01,00102,0043,3205761,2,11,2108,2,0.5
06,01,01,01,00102,0043,3205761,3,11,2107,2,0.5
06,01,01,01,00102,0044,3591638,1,11,2108,2,0.5
06,01,01,01,00102,0045,3591639,1,11,2108,2,0.5
06,01,01,01,00102,0047,3205768,1,11,2108,2,0.25
