TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P117_01,P117_02,P117_03,P117_04,P117_05,P117_06,P118,P119,P120_01,P120_02,P121,P121_01
11,01,05,02,00503,0014,2477743,2,1,2,2,2,2,3,2,2,2,0.0,
11,01,05,02,00503,0015,2477742,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,05,02,00503,0016,2477707,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00503,0017,2477704,2,2,2,2,2,2,3,2,2,2,1.0,
11,01,05,02,00503,0018,2477703,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0019,2477708,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0020,2477702,2,1,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0021,2478059,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0022,2478060,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0023,2477706,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0024,2478057,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0025,2477705,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0026,2478053,2,1,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00503,0027,2478055,2,2,2,2,2,2,1,1,1,2,,2.0
11,01,05,02,00503,0028,2477722,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0029,2478054,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00503,0030,2478056,2,1,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0031,2477721,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0032,2478050,2,2,2,2,2,2,1,1,1,2,,2.0
11,01,05,02,00503,0033,2478052,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0034,2477727,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00503,0035,2473500,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00503,0036,2477735,2,2,2,2,2,2,4,1,2,2,0.0,
11,01,05,02,00503,0037,2477728,2,1,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00503,0038,2477736,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0039,2477725,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00503,0040,2477734,2,2,2,2,2,2,4,2,1,2,,2.0
11,01,05,02,00503,0041,2477740,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0042,2477739,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0043,2478051,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0044,2477729,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0045,2477726,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0046,2477730,2,2,2,2,2,2,2,1,2,2,,2.0
11,01,05,02,00503,0047,2477737,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0048,2394883,2,1,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0049,0227196,2,1,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0050,0227197,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0051,2477731,2,1,2,2,2,2,7,2,2,2,,2.0
11,01,05,02,00503,0052,2477724,2,2,1,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0053,2394899,2,1,2,2,2,2,1,2,2,2,0.0,
11,01,05,02,00503,0054,2394897,2,2,2,2,2,2,1,2,2,2,0.0,
11,01,05,02,00503,0055,2394882,2,1,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00503,0056,0227188,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0057,0227198,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0058,2477723,2,2,2,2,2,2,1,2,2,2,1.0,
11,01,05,02,00503,0059,2394881,2,2,2,2,2,2,1,1,2,2,,2.0
11,01,05,02,00503,0060,0227199,2,1,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0061,0227178,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0062,2477760,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0063,0227183,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00503,0064,0227162,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0065,0227161,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0066,0578126,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0067,2477759,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00503,0068,0227179,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0069,0227180,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0070,0227170,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,05,02,00503,0071,0578101,2,2,2,2,2,2,2,2,2,2,0.0,
11,01,05,02,00503,0072,0227164,2,2,2,2,2,2,1,2,1,2,,2.0
11,01,05,02,00503,0073,0578136,2,1,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0074,0227173,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0075,2477757,2,1,1,2,2,2,1,2,2,2,0.0,
11,01,05,02,00503,0076,0227171,2,2,1,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0077,0578128,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0078,0578129,2,1,1,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0079,0578130,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00503,0080,0578131,2,1,1,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0081,0578109,2,1,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0082,0578104,2,2,2,2,2,2,1,1,1,1,0.0,
11,01,05,02,00503,0083,0578107,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0084,0578108,2,1,1,2,2,2,2,2,2,2,,2.0
11,01,05,02,00503,0085,0578102,2,2,2,2,2,2,2,2,2,2,0.0,
11,01,05,02,00503,0086,0578105,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0087,0578106,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0088,0578103,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,05,02,00503,0089,0578134,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0090,0578133,2,2,2,2,2,2,1,2,2,2,0.0,
11,01,05,02,00503,0091,0578137,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00503,0092,0578132,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00503,0093,0227172,2,1,2,2,2,2,1,2,1,2,,2.0
11,01,05,02,00503,0094,0578140,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,05,02,00601,0001,0088604,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0002,0275411,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0003,0227055,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0004,2478178,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00601,0005,2393736,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0006,2563912,2,1,1,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0007,2563913,2,1,1,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0008,2563918,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0009,2563914,2,1,1,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0010,2563917,2,2,1,1,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0011,2478176,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0012,2563910,2,1,1,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0013,2478177,2,1,1,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0014,2563915,2,1,1,2,2,2,4,1,2,2,1.0,
11,01,05,02,00601,0015,2563911,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00601,0016,2393739,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0017,2563979,2,2,2,2,2,2,4,1,2,2,0.0,
11,01,05,02,00601,0018,2393732,2,2,1,2,2,2,4,1,2,2,1.0,
11,01,05,02,00601,0019,2393735,2,1,1,2,2,2,4,2,2,2,0.0,
11,01,05,02,00601,0020,2563980,2,2,1,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0021,2393728,2,1,1,2,2,2,4,1,2,2,1.0,
11,01,05,02,00601,0022,2393734,2,1,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0023,2393725,2,2,2,2,2,2,4,2,2,2,2.0,
11,01,05,02,00601,0024,2393723,2,2,1,2,2,2,4,2,1,2,1.0,
11,01,05,02,00601,0025,2393729,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,05,02,00601,0026,2563975,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,05,02,00601,0027,2563978,2,1,1,2,2,2,4,2,2,2,1.0,
