TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P023_01,P023_04,P023_07
02,01,01,11,00102,0006,2958206,1,2.25,010609
02,01,01,11,00102,0027,2762892,1,0.0225,010601
02,01,01,11,00102,0029,3206535,1,1.0,010101
02,01,01,11,00102,0052,3206553,1,2.0,010113
02,01,01,11,00102,0107,3341373,1,3.0,010101
02,01,01,11,00103,0012,3341378,1,1.5,010609
02,01,01,11,00103,0037,3341370,1,0.3,010101
02,01,01,11,00103,0042,3206590,1,0.1,220801
02,01,01,12,00101,0004,2939568,1,2.0,010522
02,01,01,12,00101,0037,3203978,1,0.25,010522
02,01,01,12,00101,0039,3205808,1,5.0,010109
02,01,01,12,00101,0045,3203980,1,500.0,010119
02,01,01,12,00101,0060,3205803,2,60.0,010119
02,01,01,12,00101,0060,3205803,1,10.0,010119
02,01,01,12,00101,0093,3205805,1,2.0,010119
02,01,01,12,00101,0093,3205805,2,2.0,010119
02,01,01,12,00101,0093,3205805,3,1.5,010119
02,01,01,12,00101,0093,3205805,4,1.25,010119
02,01,01,12,00101,0097,3205802,1,0.0,010114
02,01,01,12,00102,0003,2939077,1,40.0,010312
02,01,01,12,00102,0003,2939077,2,10.0,010111
02,01,01,12,00102,0011,2939581,1,3.0,010119
02,01,01,12,00102,0016,3341616,2,8.0,010519
02,01,01,12,00102,0016,3341616,1,10.0,010504
02,01,01,12,00102,0047,3341615,2,2.0,010119
02,01,01,12,00102,0047,3341615,1,10.0,010119
02,01,01,12,00102,0061,3205559,1,70.0,010109
02,01,01,12,00102,0063,2939100,1,20.0,010312
02,01,01,12,00102,0069,3341602,1,40.0,010119
02,01,01,12,00102,0075,3341588,1,30.0,010119
02,01,01,12,00102,0086,2939085,1,11.0,010119
02,01,01,12,00102,0086,2939085,2,1.0,010119
02,01,01,12,00102,0087,2939087,2,5.0,010119
02,01,01,12,00102,0087,2939087,3,1.0,010119
02,01,01,12,00102,0087,2939087,1,6.0,010119
02,01,01,12,00102,0087,2939087,4,3.0,010119
02,01,01,12,00102,0089,3341555,2,6.0,010119
02,01,01,12,00102,0089,3341555,1,1.0,010119
02,01,01,12,00102,0095,2939089,1,1.0,010109
02,01,01,13,00101,0023,3634944,1,3.0,010115
02,01,01,13,00101,0054,3368055,1,0.25,010115
02,01,01,13,00101,0081,3636509,1,4.0,010705
02,01,01,13,00102,0019,3368170,1,1.0,010115
02,01,01,13,00102,0050,3634503,1,3.0,010115
02,01,01,13,00103,0034,3634984,1,0.25,010109
02,01,01,13,00103,0035,3634985,2,3.5,010521
02,01,01,13,00103,0035,3634985,1,0.25,010109
02,01,01,14,00101,0056,2937498,1,6.0,010107
02,01,01,14,00101,0067,2937511,1,1.5,010609
02,01,01,14,00102,0013,2957311,1,6.0,010602
02,01,01,14,00102,0015,2957331,1,1.5,010609
02,01,01,14,00102,0037,2958843,1,5.0,060701
02,01,01,14,00102,0044,2957341,1,1.0,010607
02,01,01,14,00102,0066,2957356,1,1.0,010601
02,01,01,14,00102,0079,3363609,1,20.0,010607
02,01,01,14,00102,0083,2958846,1,5.0,010609
02,01,01,14,00103,0061,3363711,1,4.0,010609
02,01,01,14,00103,0064,3363701,1,2.0,060413
02,01,01,14,00103,0110,2958605,1,10.0,010609
02,01,01,14,00103,0112,2958760,1,5.0,010609
02,01,01,14,00103,0142,3360677,1,0.5,060701
02,01,01,14,00103,0147,3341472,1,0.0,010609
02,01,01,14,00103,0148,3341473,1,2.0,010607
02,01,01,14,00104,0007,3363664,1,5.0,010104
02,01,01,14,00104,0008,3363666,1,7.0,010104
02,01,01,14,00104,0009,3363644,1,4.0,010104
02,01,01,14,00104,0013,3363642,1,15.0,010104
02,01,01,14,00104,0037,3363678,1,2.0,010104
02,01,01,14,00104,0040,3363690,1,2.0,010104
02,01,01,14,00105,0006,0455679,2,20.0,010609
02,01,01,14,00105,0006,0455679,1,20.0,010601
02,01,01,14,00105,0030,2958670,1,40.0,010117
02,01,01,14,00105,0097,2937419,1,20.0,010120
02,01,01,14,00105,0177,3341569,1,15.0,060701
02,01,01,14,00105,0203,2957275,1,3.0,010101
02,01,01,14,00105,0204,2957276,1,1.25,010118
02,01,01,14,00105,0214,2957286,1,0.25,010107
02,01,01,14,00105,0240,2957372,1,12.0,010607
02,01,01,14,00105,0241,2957373,1,2.0,010609
02,01,01,14,00105,0249,2957382,1,100.0,010105
02,01,01,14,00200,0004,3360700,1,40.0,010601
02,01,01,14,00200,0033,3360419,1,11.0,060401
